PF,Justin Jackson (16337166),Justin Jackson,16337166,PF/F/UTIL,3900,MIN@OKC 02/06/2021 08:00PM ET,OKC,11.02
SG/SF,Furkan Korkmaz (16337150),Furkan Korkmaz,16337150,SG/SF/F/G/UTIL,3900,BKN@PHI 02/06/2021 08:00PM ET,PHI,14.42
C,Dwight Howard (16337160),Dwight Howard,16337160,C/UTIL,3900,BKN@PHI 02/06/2021 08:00PM ET,PHI,18.99
SG/SF,Dylan Windler (16337185),Dylan Windler,16337185,SG/SF/F/G/UTIL,3800,MIL@CLE 02/06/2021 08:00PM ET,CLE,12.2
PG/SG,Damion Lee (16337169),Damion Lee,16337169,PG/SG/G/UTIL,3800,GS@DAL 02/06/2021 08:30PM ET,GS,15.07
SF,Sterling Brown (16337176),Sterling Brown,16337176,SF/F/UTIL,3800,SA@HOU 02/06/2021 08:00PM ET,HOU,17.71
PF/C,Mike Muscala (16337181),Mike Muscala,16337181,PF/C/F/UTIL,3800,MIN@OKC 02/06/2021 08:00PM ET,OKC,16.38
C,Daniel Gafford (16337179),Daniel Gafford,16337179,C/UTIL,3800,CHI@ORL 02/06/2021 07:00PM ET,CHI,12.92
SF/PF,Timothe Luwawu-Cabarrot (16337207),Timothe Luwawu-Cabarrot,16337207,SF/PF/F/UTIL,3800,BKN@PHI 02/06/2021 08:00PM ET,BKN,14.09
SG/SF,DeAndre' Bembry (16337202),DeAndre' Bembry,16337202,SG/SF/F/G/UTIL,3700,TOR@ATL 02/06/2021 08:00PM ET,TOR,8.52
SF,Talen Horton-Tucker (16337173),Talen Horton-Tucker,16337173,SF/F/UTIL,3700,DET@LAL 02/06/2021 10:00PM ET,LAL,15.46
C,Jaxson Hayes (16337194),Jaxson Hayes,16337194,C/UTIL,3700,MEM@NO 02/06/2021 09:00PM ET,NO,11
C,Guillermo Hernangomez (16337200),Guillermo Hernangomez,16337200,C/UTIL,3700,MEM@NO 02/06/2021 09:00PM ET,NO,13.58
PF/C,Isaiah Roby (16337227),Isaiah Roby,16337227,PF/C/F/UTIL,3700,MIN@OKC 02/06/2021 08:00PM ET,OKC,18.78
SF/PF,James Ennis III (16337196),James Ennis III,16337196,SF/PF/F/UTIL,3700,CHI@ORL 02/06/2021 07:00PM ET,ORL,13.86
PG/SG,Tyrese Maxey (16337190),Tyrese Maxey,16337190,PG/SG/G/UTIL,3700,BKN@PHI 02/06/2021 08:00PM ET,PHI,16.53
SG/SF,Isaac Okoro (16337216),Isaac Okoro,16337216,SG/SF/F/G/UTIL,3600,MIL@CLE 02/06/2021 08:00PM ET,CLE,16.92
PG/SG,Bryn Forbes (16337221),Bryn Forbes,16337221,PG/SG/G/UTIL,3600,MIL@CLE 02/06/2021 08:00PM ET,MIL,11.42
SG/SF,Kent Bazemore (16337211),Kent Bazemore,16337211,SG/SF/F/G/UTIL,3600,GS@DAL 02/06/2021 08:30PM ET,GS,14.29
SG/SF,Kentavious Caldwell-Pope (16337231),Kentavious Caldwell-Pope,16337231,SG/SF/F/G/UTIL,3600,DET@LAL 02/06/2021 10:00PM ET,LAL,16.53
PF,Jaden McDaniels (16337267),Jaden McDaniels,16337267,PF/F/UTIL,3600,MIN@OKC 02/06/2021 08:00PM ET,MIN,12.28
PF/C,Chuma Okeke (16337236),Chuma Okeke,16337236,PF/C/F/UTIL,3600,CHI@ORL 02/06/2021 07:00PM ET,ORL,11.36
SG,Kris Dunn (16337247),Kris Dunn,16337247,SG/G/UTIL,3500,TOR@ATL 02/06/2021 08:00PM ET,ATL,0
PF,Stanley Johnson (16337261),Stanley Johnson,16337261,PF/F/UTIL,3500,TOR@ATL 02/06/2021 08:00PM ET,TOR,11.25
